"RowNumber","Prey...predator","Baleen.whales","Toothed.whales","Seals","Seabird.surface.feeders","Seabird.inshore.divers","Seabird.offshore.divers","Gulls","Manx.shearwater","European.storm.petrel","Cod","Juvenile.cod","Blue.whiting","Juvenile.blue.whiting","Hake","Juvenile.hake","Plaice","Juvenile.plaice","Megrim","Juvenile.megrim","Whiting","Juvenile.whiting","Monkfish","Juvenile.monkfish","Haddock","Juvenile.haddock","Sole","Mackerel","Horse.mackerel","Red.mullet","Sea.bass","Large.sharks","Small.sharks","Pilchard","Sprat","European.Anchovy","Herring","Rays.and.Skates","Turbot.and.Brill","Small.and.medium.flatfish","Trisopterus","Gurnards","Pollack.and.Saithe","Small.benthic.fishes","Small.pelagic.spp.","Garfish","Demersal.predators","Small.crabs.and.other","Large.crabs.and.lobsters","Small.benthic.crustacea","Bivalves","Gastropods","Cuttlefish","Squid","Sessile.invertebrate","Echinoderms","Polychaetes","Nematoda","Large.zooplankton","Small.zooplankton","Carnivorous.macroplankton","Euphausiids","Microflagellate","Pelagic.bacteria","Benthic.bacteria"
61,"Euphausiids",0,0,0,0.00757592737087208,0,0.00451365067704753,0,0,0.0342563869857617,5e-04,0.0026455,0.6952305,0.9043617,0,0.184,0.2192439,0,0.01447758,0.2195505,0.025355,0.1846676,0,0,0.0297,0.05015,0,0.3965513,0.5374625,1e-04,0,0,0.1520456,0.07445,0,0.111111111111111,0.14565,0.04704658,0.5207812,0.1129201,0.3423423,0.2696764,0.0800833333333333,0.07176832,0.05819069,0.12,0.22765,0,0,0,0,0,0,0.974,0,0,0,0,0,0,0,0,0,0,0
62,"Microflagellate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0,0
63,"Pelagic bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0
64,"Benthic bacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0
65,"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0.0161492920355315,0,0,0,1e-04,0,0.1,0,0.00208720478491534,0,0,0,0,0,0.066366409527278,0,0.02002784,0.0001998,0,0,0,0,0.1562,0,0,0.0219079542391159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0.05,0,0,0.6,0.6,0,0.5815816,0,0,0
66,"Particulate organic matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7515152,0.62,1,0.5,1,0,0,0.4,0,0.4,0.7,0,0,0,0.1831832,0.3,0,0
67,"Discards",0,0,0,0.274627335007934,0.001,0,0.604497336098721,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Dissolved organic matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.3,0,0.06999999,0.06999999,0,0,0,1,1
69,"Import",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Sum",1.00020296,1.000003,1.001202732,1.000347241,1.000281,1.000003,1.001022721,1.000003,1.000003,1,1,1.00004239,1,1,1.000497301,1,1,1,1,0.999921205,0.999993072,1,1,1,1,1,1.000000148,1,1,1.00000008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00001301,1,1.000000006,1,1,1,1,1.000000046,1,1,1,1,1,0.99999999,0.99999999,1,1.000000005,1,1,1
71,"(1 - Sum)",-0.000202959999999974,-2.99999999997524e-06,-0.0012027320000001,-0.000347241000000054,-0.000280999999999976,-2.99999999997524e-06,-0.001022721,-2.9999999997532e-06,-2.99999999997524e-06,0,0,-4.23900000001698e-05,0,0,-0.000497301000000006,0,0,1.11022302462516e-16,0,7.87949999999649e-05,6.92800000001714e-06,0,0,0,0,0,-1.48000000033122e-07,0,0,-7.99999999578915e-08,-2.22044604925031e-16,0,1.11022302462516e-16,0,0,0,0,0,0,-2.22044604925031e-16,0,1.11022302462516e-16,1.11022302462516e-16,0,-1.300999999998e-05,0,-6.00000005235302e-09,0,0,0,0,-4.60000000312988e-08,0,0,0,0,0,1.00000000502476e-08,1.00000000502476e-08,0,-4.99999996961265e-09,0,0,0
