"RowNumber","Prey...predator","Baleen.whales","Toothed.whales","Seals","Seabird.surface.feeders","Seabird.inshore.divers","Seabird.offshore.divers","Gulls","Manx.shearwater","European.storm.petrel","Cod","Juvenile.cod","Blue.whiting","Juvenile.blue.whiting","Hake","Juvenile.hake","Plaice","Juvenile.plaice","Megrim","Juvenile.megrim","Whiting","Juvenile.whiting","Monkfish","Juvenile.monkfish","Haddock","Juvenile.haddock","Sole","Mackerel","Horse.mackerel","Red.mullet","Sea.bass","Large.sharks","Small.sharks","Pilchard","Sprat","European.Anchovy","Herring","Rays.and.Skates","Turbot.and.Brill","Small.and.medium.flatfish","Trisopterus","Gurnards","Pollack.and.Saithe","Small.benthic.fishes","Small.pelagic.spp.","Garfish","Demersal.predators","Small.crabs.and.other","Large.crabs.and.lobsters","Small.benthic.crustacea","Bivalves","Gastropods","Cuttlefish","Squid","Sessile.invertebrate","Echinoderms","Polychaetes","Nematoda","Large.zooplankton","Small.zooplankton","Carnivorous.macroplankton","Euphausiids","Microflagellate","Pelagic.bacteria","Benthic.bacteria"
17,"Juvenile plaice",0,0,0,0,0,0,0,0,0,0.044046204665043,0,0,0,0,0,0.00100019984627212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Megrim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01101101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002001982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Juvenile megrim",0,0,0,0,0,0,0,0,0,0.00800840239278693,0.00717746414580538,0,0,0.02202202,0.00069979,0,0,0.0011125053100059,0,0,0,0.04795204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Whiting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164835196703296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Juvenile whiting",0,0.314736944852631,0.109996471716777,0.001,6.95e-05,0.00451365067704753,0.001,0,0,0.0540567089053333,0.00179436557794521,0,0,0.04404405,0,0,0,0,0,0.05793742,0,0.05894106,0.05605606,0,0,0,0,0,0,0,0,0.0090027,0,0,0,0,0.05305252,0,0,0,0,0,0,0,0,0.0175695385148044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Monkfish",0,0.00199200598007994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Juvenile monkfish",0,0.0498001495019985,0,0,0,0,0,0,0,0.0229872422416277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010003,0,0,0,0,0,0,0.0234258240007471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Haddock",0,0,0.0720120796852897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Juvenile haddock",0,0,0.0119996178241684,0.001,0,0.00451365067704753,0.001,0,0,0.0110115486676475,0,0,0,0,0,0,0,0.000634127826910729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Sole",0,0,0.00599980591151213,0,0,0,0,0,0,0.00559689376317891,0,0,0,0,0,0,0,0,0,0.000319655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
