,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62
32,"Small sharks",,,,,,,,,,0.000541,,,,0.00701,,,,0.00780,,0.0130,,,,0.00399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Clupeids,0.962,,,0.0574,,0.916,0.00204,0.236,0.00343,0.0421,0.0412,0.142,,0.106,0.0816,,,,,0.142,0.404,,,0.138,,,0.0160,,,0.0406,0.351,,,,,,,,0.197,,,0.256,0.108,,,,,,0.0928,,,,,,,,,,,,
34,"Rays and Skates",,,,,,,,,,,,,,,,,,,,,,0.150,,,,,,,,,,,,0.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Turbot and Brill",,0.01000,0.0110,,,,,,,0.00100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Small and medium flatfish",,,0.0200,,0.00202,,,,,0.0731,0.0235,,,0.00100,0.000100,,,0.00334,0.00523,0.00300,,0.0969,0.437,,,,,,,,0.211,0.00300,,,,,0.0571,,,,,,0.0240,,,,,,0.0808,,,,,,,,,,,,
37,Trisopterus,0.000200,0.0700,0.132,0.00765,,,,,0.213,0.100,0.259,,,0.157,0.264,,,0.390,0.0345,0.250,0.168,0.0380,0.221,0.250,,,,,,0.0180,,0.0240,,0.00300,,,,0.00599,,,,,0.0850,,,,,,,,,,,,,,,,,,
38,Gurnards,,,,,,,,,,0.100,,,,0.00701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0120,,,,,,,,,,,,,,,,,,
39,"Pollack and Saithe",,,0.136,,0.115,,,,,0.0501,,,,,,,,,,0.0999,,0.0380,,,,,,,,,,,,,,,,,,,,,0.0800,,,,,,,,,,,,,,,,,,
40,"Small benthic fishes",,0.01000,0.104,0.00136,0.366,,,,0.165,0.0801,0.0704,,,0.00100,0.001000,,,0.0234,0.0565,0.000949,0.00200,0.00200,0.149,0.000100,0.000500,,,,,0.00899,,0.00300,,0.0140,0.0701,0.0175,0.0260,0.0290,0.00107,,,,0.0160,,,,,,0.0404,,,,,,,,,,,,0.158
41,"Small pelagic spp.",,,0.0250,,,,,,,0.0130,0.0186,,,0.0400,0.01000,,,0.0624,0.0105,0.0559,0.00200,0.00699,0.0450,0.0899,0.000400,,0.00200,0.00500,,0.0879,,0.00100,,0.000911,,,,0.00699,,,,,0.0360,,,,,,0.294,,,,,,,,,,,,
42,Garfish,,,,0.260,,,,,0.00686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Demersal predators",,,0.0180,0.00956,0.00806,,,,,0.00401,0.00783,,,0.00601,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Small crabs and other",,,,0.0172,0.0111,,0.169,0.0441,,0.0491,0.477,0.150,0.0956,0.00300,0.0160,,0.150,0.0356,0.284,0.0809,0.149,0.0220,0.0220,0.0280,0.167,,0.0871,0.00500,0.274,0.350,,0.210,0.0305,0.642,0.335,0.159,0.441,0.632,0.143,0.0872,,,0.0430,0.00606,0.180,,,,0.0917,0.00400,,,,,,,,,,,0.0278
45,"Large crabs and lobsters",,,,,0.00202,,,,,0.0290,,,,0.00200,,,,0.00668,0.0470,0.00300,0.000799,0.0460,,0.0110,0.0290,,,,0.0789,,,,,0.0130,0.0441,0.0319,,,,,,,0.0570,,,,,,,,,,,,,,,,,,
46,"Small benthic crustacea",,,,0.0382,,,0.0959,,0.451,,0.000489,,,,0.000100,0.0166,0.0500,,0.000209,0.000110,0.000998,,,0.00499,0.00699,,0.00401,0.000799,0.0200,,,0.000200,0.0600,0.00100,,0.00308,0.00901,0.00400,0.0708,0.0501,0.0146,0.0831,,,,,,,0.0928,0.00300,,,,,,,,,,,
47,Bivalves,,,,,,,0.0999,,,0.000321,0.00196,,,,,,,0.000512,0.00418,,,,,0.00499,0.143,,,,,,,0.00300,,,0.000501,0.112,,0.00400,,,,0.0130,,0.242,0.200,,,,0.0557,,,0.0500,,,,,,,,,
48,Gasteropods,,,,,,,0.000816,,,0.000321,0.00391,,,,,,,0.000379,,,0.00499,0.00699,,0.00499,0.0260,,0.0120,0.00999,,,,0.00100,0.0300,,0.0110,,0.00901,0.00300,,,,0.205,,,,,,,0.00218,,,,,,,,,,,,
